name,age,sex,love_in,love_out_land,love_out_sky,city,area,building,_row_head_
张三95,19,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三96,51,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三97,23,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三98,85,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三99,50,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三100,18,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三101,34,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三102,67,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三103,20,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三104,94,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三105,94,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三106,18,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三107,49,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三108,15,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三109,26,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三110,28,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三111,79,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三112,51,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三113,75,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三114,72,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三115,70,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三116,32,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三117,74,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三118,56,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三119,22,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三120,59,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三121,20,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三122,52,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三123,58,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三124,30,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三125,84,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三126,49,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三127,77,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三128,44,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三129,49,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三130,69,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三131,77,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三132,56,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三133,72,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三134,55,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三135,42,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三136,91,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三137,26,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三138,49,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三139,17,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三140,71,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三141,69,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三142,13,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三143,72,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三144,89,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三145,74,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三146,81,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三147,13,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三148,15,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三149,65,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三150,20,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三151,35,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三152,18,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三153,65,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三154,79,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三155,30,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三156,77,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三157,27,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三158,44,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三159,21,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三160,63,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三161,100,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三162,24,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三163,16,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三164,16,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三165,62,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三166,46,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三167,22,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三168,29,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三169,14,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三170,26,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三171,88,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三172,100,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三173,13,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三174,19,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三175,89,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三176,12,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三177,26,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三178,52,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三179,74,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三180,90,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三181,18,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三182,24,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三183,62,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三184,15,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三185,48,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三186,20,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三187,57,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三188,43,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三189,99,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三190,99,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三191,50,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三192,24,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三193,84,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三194,59,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三195,43,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三196,90,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三197,37,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三198,60,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三199,51,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三200,90,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三201,67,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三202,61,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三203,11,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三204,36,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三205,28,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三206,14,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三207,59,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三208,51,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三209,14,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三210,62,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三211,68,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三212,52,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三213,59,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三214,81,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三215,22,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三216,26,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三217,77,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三218,22,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三219,44,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三220,25,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三221,81,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三222,69,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三223,80,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三224,42,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三225,22,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三226,10,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三227,87,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三228,38,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三229,41,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三230,36,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三231,19,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三232,74,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三233,44,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三234,36,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三235,96,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三236,96,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三237,80,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三238,62,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三239,37,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三240,35,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三241,79,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三242,42,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三243,31,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三244,23,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三245,98,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三246,93,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三247,25,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三248,51,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三249,77,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三250,15,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三251,39,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三252,42,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三253,58,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三254,12,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三255,10,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三256,69,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三257,58,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三258,32,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三259,76,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三260,71,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三261,71,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三262,65,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三263,63,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三264,25,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三265,12,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三266,98,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三267,69,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三268,20,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三269,12,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三270,79,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三271,39,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三272,11,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三273,79,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三274,39,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三275,27,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三276,93,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三277,26,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三278,30,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三279,24,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三280,18,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三281,77,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三282,35,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三283,69,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三284,50,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三285,19,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三286,38,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三287,39,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三288,12,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三289,90,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三290,31,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三291,89,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三292,81,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三293,74,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三294,20,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三295,72,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三296,46,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三297,48,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三298,26,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三299,37,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三300,50,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三301,27,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三302,48,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三303,66,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三304,36,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三305,85,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三306,54,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三307,40,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三308,43,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三309,23,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三310,37,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三311,29,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三312,69,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三313,36,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三314,81,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三315,76,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三316,19,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三317,83,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三318,89,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三319,49,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三320,14,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三321,31,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三322,73,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三323,43,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三324,85,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三325,97,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三326,68,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三327,98,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三328,99,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三329,49,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三330,46,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三331,51,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三332,90,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三333,14,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三334,100,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三335,88,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三336,64,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三337,81,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三338,72,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三339,49,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三340,51,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三341,45,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三342,42,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三343,72,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三344,13,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三345,51,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三346,85,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三347,17,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三348,12,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三349,11,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三350,53,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三351,66,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三352,44,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三353,25,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三354,90,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三355,42,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三356,38,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三357,29,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三358,83,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三359,37,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三360,82,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三361,73,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三362,39,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三363,92,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三364,60,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三365,82,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三366,93,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三367,26,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三368,17,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三369,29,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三370,55,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三371,25,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三372,81,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三373,59,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三374,21,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三375,68,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三376,36,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三377,70,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三378,95,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三379,79,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三380,71,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
